Sample ID,RFMA,Sex,Cort (ng/g feces),Test (ng/g feces)a,Estradiol (ng/g feces),Prog (ng/g feces),T3 (ng/g feces),notes
1617-068,592,F,18.15161905,13.65180952,16.06628571,30.85714286,113.4247619,all
1617-069,592,M,21.6656,53.4464,75.8904,222.7608,141.5736,all
1617-107,137,M,10.32914286,55.75085714,51.42285714,40.11428571,74.56685714,all
1617-109,137,F,16.84715789,114.2568421,72.10863158,78.96505263,132.1103158,all
1617-125,137,M,17.55657143,151.4544762,69.13447619,84.704,79.90704762,all
1617-132,282,M,14.98215385,25.05846154,38.21415385,23.63076923,68.70892308,all
1617-182,137,M,12.7448,61.56,28.176,105.912,136.512,all
1617-190,137,M,6.5288,94.672,57.7872,161.4048,204.6776,red
1617-202,2361,F,22.3666087,24.5426087,27.99373913,12.93913043,50.87582609,red
1617-204,2361,F,29.92685714,307.9253333,93.05828571,1251.145143,85.60228571,extra
1617-205,2361,M,20.996,478.08,277.3784,201.048,143.4088,extra
1617-206,2361,M,33.55636364,774.1163636,122.8974545,94.74763636,106.4298182,red
1617-207,2361,F,11.71911111,24.33511111,11.90133333,15.46666667,49.43377778,extra
1617-210,2361,M,23.77768421,138.9254737,97.83663158,2412.530526,193.6421053,extra
1617-211,2361,F,12.87847619,73.69295238,62.256,46.176,97.95885714,red
1617-213,2361,F,5.488,97.01389474,112.9178947,91.20505263,97.77515789,all
1617-215,2361,M,20.83377778,230.7537778,234.4106667,338.112,80.29155556,extra
1617-216,2361,M,37.57955556,146.0248889,15.33422222,8.533333333,46.51111111,red
1617-217,2361,M,14.82782609,195.2751304,42.2066087,38.73808696,74.9773913,red
1617-218,2361,F,10.88,26.60266667,24.70826667,161.3184,59.54773333,all
1617-219,2361,M,7.607111111,16.24711111,21.73777778,19.2,63.208,extra
1617-220,2361,F,31.4232,167.0208,130.312,74.112,112.1968,red
1617-225,2361,M,22.232,64.49066667,78.53244444,35.52,124.0115556,extra
1617-226,2361,F,22.64252632,135.4543158,140.9953684,83.35831579,251.8517895,extra
1617-227,2361,F,11.78610526,357.0913684,74.98694737,392.2509474,119.9848421,extra
1617-228,2361,F,27.50690909,499.5330909,208.2974545,784.56,93.97454545,red
1617-229,2361,M,24.40266667,807.4968889,472.8888889,85.56266667,215.1484444,red
1617-230,2361,M,18.50488889,314.3377778,205.7964444,94.58666667,463.5093333,all
1617-231,2361,M,14.88727273,280.9425455,43.56072727,107.4807273,138.1767273,extra
1617-P1,2361,F,15.65963636,98.53527273,25.20872727,164.448,70.096,all
1617-RG01,1234,F,26.22568421,66.87157895,43.00631579,52.51705263,113.888,all
1617-RG02,1234,F,42.944,33.664,31.984,129.3493333,77.60711111,red
1617-RG03,1234,F,31.48730435,333.3885217,31.5346087,113.4928696,127.1005217,all
1718-QCOT01,Wakefield,F,21.98186667,31.44533333,15.70346667,20.48,70.0704,red
1718-QCOT02,Wakefield,F,15.6384,149.6576,82.5632,69.3056,215.5370667,red
GY01,1326,M,29.644,572.08,116.612,111.174,215.842,all
GY02,1326,M,24.40266667,89.63555556,32.95377778,13.86666667,70.51466667,all
GY03,1326,M,28.87578947,439.2084211,32.65515789,116.0084211,412.0050526,all
GY04,1326,M,8.51,17.422,6.983,16.8,49.626,all
GY05,1326,M,11.42514286,243.8628571,229.3405714,88.944,307.5302857,all
